IATA,LATITUDE,LONGITUDE
GTF,47.48200194,-111.3706853
GTR,33.45033444,-88.59136861
GUC,38.53396333,-106.9331817
GUM,13.48345,-144.7959825
HDN,40.48118028,-107.2176597
HIB,47.38659917,-92.83899333
HLN,46.60681806,-111.9827503
HOB,32.68752778,-103.2170278
HPN,41.06695778,-73.70757444
HRL,26.22850611,-97.65439389
HSV,34.6404475,-86.77310944
HTS,38.36666667,-82.55802778
HYA,41.66933639,-70.28035583
HYS,38.84494167,-99.27403361
ICT,37.64995889,-97.43304583
IDA,43.51455556,-112.0701667
ILG,39.67872222,-75.60652778
ILM,34.27061111,-77.90255556
IMT,45.81835417,-88.1145425
INL,48.56618722,-93.40306667
IPL,32.83422028,-115.5787456
ISN,48.17793861,-103.6423467
ISP,40.7952425,-73.10021194
ITH,42.49102778,-76.45844444
ITO,19.72026306,-155.0484703
IYK,35.65884306,-117.8295122
JAC,43.60732417,-110.7377389
JAN,32.31116667,-90.07588889
JLN,37.15181361,-94.49826833
JMS,46.92971944,-98.67819528
JNU,58.35496194,-134.5762764
KOA,19.73876583,-156.0456314
KTN,55.35556861,-131.71374
LAN,42.7787,-84.58735806
LAR,41.31205,-105.6749864
LAW,34.56771444,-98.41663667
LBB,33.66363889,-101.8227778
LCH,30.1260975,-93.22340361
LEX,38.03697222,-84.60538889
LFT,30.20527972,-91.987655
LGB,33.81772222,-118.1516111
LIH,21.97598306,-159.3389581
LMT,42.15614361,-121.7332081
LNK,40.85097222,-96.75925
LRD,27.54373861,-99.46154361
LSE,43.87937972,-91.25653778
LWB,37.85830556,-80.39947222
LWS,46.37449806,-117.0153944
LYH,37.32668528,-79.20043056
MAF,31.94252778,-102.2019139
MBS,43.53291472,-84.07964722
MCN,32.69284944,-83.64921083
MDT,40.19349528,-76.76340361
MEI,32.33313333,-88.75120556
MFE,26.17583333,-98.23861111
MFR,42.37422778,-122.8734978
MGM,32.30064417,-86.39397611
MHK,39.14096722,-96.67083278
MHT,42.93451639,-71.43705583
MKG,43.16948806,-86.23822306
MLB,28.10275,-80.64580556
MLI,41.44852639,-90.50753917
MLU,32.51086556,-92.03768778
MMH,37.62404861,-118.8377722
MOB,30.69141667,-88.24283333
MOD,37.62581722,-120.9544214
MOT,48.25937778,-101.2803339
MQT,46.353639,-87.395361
MRY,36.5869825,-121.8429478
MSN,43.13985778,-89.33751361
MSO,46.91630556,-114.0905556
MTJ,38.50886722,-107.8938333
MVY,41.39302583,-70.6143325
MWH,47.20770806,-119.3201897
MYR,33.67975,-78.92833333
OAJ,34.82916444,-77.61213778
OME,64.51220222,-165.4452458
ORH,42.26733944,-71.87570944
OTH,43.41713889,-124.2460278
OTZ,66.88467694,-162.5985497
OXR,34.20080083,-119.2072164
PAH,37.06083333,-88.77375
PFN,30.21208333,-85.68280556
PHF,37.13189556,-76.4929875
PIA,40.66424333,-89.69330556
PIB,31.46714944,-89.33705778
PIE,27.91076333,-82.68743944
PIH,42.91130556,-112.5958611
PIR,44.38267694,-100.285965
PLN,45.5709275,-84.796715
PNS,30.47330556,-87.18744444
PPG,14.33102278,-170.7105258
PSC,46.26468028,-119.1190292
PSE,18.00830278,-66.56301194
PSG,56.80165194,-132.9452781
PSP,33.82921556,-116.5062531
PUB,38.28908722,-104.4965722
PWM,43.64616667,-70.30875
RAP,44.04532139,-103.0573708
RDD,40.50898361,-122.2934019
RDM,44.25406722,-121.1499633
RFD,42.19536389,-89.09721111
RHI,45.63119306,-89.46745361
RKS,41.5942175,-109.0651928
ROA,37.32546833,-79.97542833
ROC,43.11886611,-77.67238389
ROW,33.30155556,-104.5305556
RST,43.90882639,-92.49798722
SAF,35.61677778,-106.0881389
SAV,32.12758333,-81.20213889
SBA,34.42621194,-119.8403733
SBN,41.70895361,-86.31847417
SBP,35.23705806,-120.6423931
SCC,70.19475583,-148.4651608
SCE,40.851206,-77.846302
SGF,37.24432611,-93.38685806
SGU,37.09058333,-113.5930556
SHD,38.26384333,-78.89643806
SHV,32.4466275,-93.82559833
SIT,57.04713806,-135.3615983
SJT,31.35775,-100.4963056
SMX,34.89924833,-120.4575825
SPI,39.84395194,-89.67761861
SPN,14.996111,145.621384
SPS,33.98879611,-98.49189333
SRQ,27.39533333,-82.55411111
STC,45.54532417,-94.05833667
STT,18.33730556,-64.97336111
STX,17.70188889,-64.79855556
SUN,43.50484139,-114.2965903
SUX,42.40260333,-96.38436694
SWF,41.50409361,-74.10483833
SYR,43.11118694,-76.10631056
TEX,37.95375861,-107.90848
TLH,30.39652778,-84.35033333
TOL,41.58680556,-83.80783333
TRI,36.47521417,-82.40742056
TTN,40.27669111,-74.81346833
TUP,34.26810833,-88.769895
TVC,44.74144472,-85.582235
TWF,42.48180389,-114.4877356
TXK,33.45370806,-93.99102
TYR,32.35413889,-95.40238611
TYS,35.81248722,-83.99285583
VEL,40.44090167,-109.5099203
VLD,30.7825,-83.27672222
VPS,30.48325,-86.5254
WRG,56.48432583,-132.3698242
WYS,44.68839917,-111.1176375
XNA,36.28186944,-94.30681111
YAK,59.50336056,-139.6602261
YUM,32.65658333,-114.6059722
